level,shot,target,pigsBefore,pigsAfter
1,0-2-26,stone5,9,9
1,0-2-26-44,wood0,9,9
1,0-2-26-44-17,stone14,9,2
1,0-2,stone13,9,9
1,0-2-22,stone4,9,9
1,0-2-22-28,stone8,9,8
1,0-2-22-28-14,stone21,8,2
1,0-43,wood1,9,9
1,0-43-29,stone4,9,9
1,0-43-29-25,stone3,9,8
1,0-43-29-25-44,stone7,8,2
1,0-45,wood7,9,9
1,0-45-20,stone3,9,9
1,0-45-20-49,wood0,9,9
1,0-45-20-49-37,stone5,9,2
1,0-16,stone3,9,9
1,0-16-7,stone13,9,9
1,0-16-7-14,stone21,9,9
1,0-16-7-14-44,wood0,9,2
1,0-21,stone4,9,9
1,0-21-22,stone4,9,9
1,0-21-22-9,stone13,9,9
1,0-21-22-9-36,stone8,9,2
1,0-18,stone4,9,9
1,0-18-36,stone8,9,9
1,0-18-36-17,stone4,9,9
1,0-18-36-17-35,stone7,9,2
1,0-14,stone23,9,9
1,0-14-18,stone3,9,9
1,0-14-18-43,wood0,9,9
1,0-14-18-43-42,stone6,9,2
1,0-14,stone23,9,9
1,0-14-3,stone13,9,9
1,0-14-3-44,wood0,9,9
1,0-14-3-44-6,stone1,9,2
1,0-5,stone13,9,9
1,0-5-38,stone9,9,9
1,0-5-38-3,stone14,9,9
1,0-5-38-3-28,stone8,9,0
1,0-1,ice6,9,9
1,0-1-18,stone21,9,9
1,0-1-18-45,wood8,9,8
1,0-1-18-45-44,stone6,8,2
1,0-29,stone5,9,9
1,0-29-21,stone5,9,9
1,0-29-21-28,stone6,9,9
1,0-29-21-28-17,stone3,9,2
1,0-35,stone8,9,9
1,0-35-43,wood0,9,6
1,0-35-43-4,stone19,6,6
1,0-35-43-4-10,stone2,6,2
1,0-30,stone8,9,9
1,0-30-48,wood5,9,7
1,0-30-48-2,ice4,7,7
1,0-30-48-2-35,stone5,7,2
1,0-29,stone5,9,9
1,0-29-26,stone6,9,9
1,0-29-26-18,stone2,9,9
1,0-29-26-18-13,stone15,9,2
1,0-44,wood1,9,9
1,0-44-38,stone8,9,9
1,0-44-38-45,wood0,9,9
1,0-44-38-45-35,stone5,9,2
1,0-35,stone8,9,9
